surface	item	kind	origin	source	canonical_page	cheat_sheet	troubleshooting	availability
daily	chezmoi apply	command	external-command	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
daily	chezmoi cd	command	external-command	home/dot_local/share/groundwork/commands.tsv	setup.html	no	no	all
daily	chezmoi diff	command	external-command	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
daily	chezmoi edit <file>	command	external-command	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
daily	chezmoi update --init	command	external-command	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
daily	groundwork-configure	command	executable	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
daily	groundwork-distro [--family]	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	Linux/WSL
daily	groundwork-docker-cache-tidy	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all; requires docker
daily	groundwork-docker-cache-tidy --yes	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all; requires docker
daily	groundwork-docker-tidy	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all; requires docker
daily	groundwork-docker-tidy --yes	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all; requires docker
daily	groundwork-doctor	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-doctor --docker	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all; requires docker
daily	groundwork-doctor --runtimes	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-doctor --shell	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-help --pick [query]	command	executable	home/dot_local/share/groundwork/commands.tsv	commands.html	yes	no	all; requires fzf
daily	groundwork-help [query]	command	executable	home/dot_local/share/groundwork/commands.tsv	commands.html	yes	no	all
daily	groundwork-platform	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-profile edit	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-profile set <current|preview>	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-profile show	command	executable	home/dot_local/share/groundwork/commands.tsv	platforms.html	no	no	all
daily	groundwork-restore	command	executable	home/dot_local/share/groundwork/commands.tsv	troubleshooting.html	no	yes	all
daily	update-all	command	executable	home/dot_local/share/groundwork/commands.tsv	setup.html	yes	yes	all
dev	mise upgrade	command	external-command	home/dot_local/share/groundwork/commands.tsv	shell.html	no	no	all; requires mise
dev	mise use <tool@version>	command	external-command	home/dot_local/share/groundwork/commands.tsv	shell.html	no	yes	all; requires mise
dev	pnpm	command	external-command	home/dot_local/share/groundwork/commands.tsv	shell.html	no	no	all; requires pnpm
dev	python	command	external-command	home/dot_local/share/groundwork/commands.tsv	development.html	no	yes	all; requires python
dev	uv	command	external-command	home/dot_local/share/groundwork/commands.tsv	development.html	no	yes	all; requires uv
git	git add -p	command	external-command	home/dot_local/share/groundwork/commands.tsv	git.html	no	no	all; requires git
