# Browser extension catalog managed by Groundwork.
# Groundwork's managed browser uses the Chrome Web Store URL.
# Verified 2026-08-04.
# tier	scope	name	chromium_url	notes
core	1password	1Password Password Manager	https://chromewebstore.google.com/detail/1password-password-manage/aeblfdkhhhdcdjpifhhbdiojplfjncoa	Install only when this machine uses 1Password.
core	bitwarden	Bitwarden Password Manager	https://chromewebstore.google.com/detail/bitwarden-password-manager/nngceckbapebfimnlniiiahkandclblb	Install only when this machine uses Bitwarden.
core	all	uBlock Origin Lite	https://chromewebstore.google.com/detail/ublock-origin-lite/ddkjiahejlhfcafbddmgiahcphecmpfh	Manifest V3 content blocker for Chrome.
core	all	Anybox Browser Extension	https://chromewebstore.google.com/detail/anybox/bpjlhpibdgjhbgafepmakjbdfgnccfed	Save the current page or selected text into Anybox from Chrome; Safari support comes from the Anybox app.
core	all	Obsidian Web Clipper	https://chromewebstore.google.com/detail/obsidian-web-clipper/cnjifjpddelmedmihgijeibhnjfabmlf	Send durable web captures into Obsidian or the llm-wiki vault.
privacy	all	Privacy.com	https://privacy.com/	No verified current browser extension; use the official web app for virtual cards.
optional	all	Privacy Badger	https://chromewebstore.google.com/detail/privacy-badger/pkehgijcmpdhfbdbbnkijodmdjhbjlgp	Optional EFF tracker blocker; keep the extension set small if uBlock already covers the workflow.
dev	all	React Developer Tools	https://chromewebstore.google.com/detail/react-developer-tools/fmkadmapgofadopljbjfkapdkoienihi	Inspect React component trees, props, state, and performance.
dev	all	Redux DevTools	https://chromewebstore.google.com/detail/redux-devtools/lmhkpmbekcpmknklioeibfkpmmfibljd	Debug Redux stores, actions, and state history.
dev	all	Vue.js devtools	https://chromewebstore.google.com/detail/vuejs-devtools/nhdogjmejiglipccpnnnanhbledajbpd	Install when working on Vue apps.
dev	chromium	Angular DevTools	https://chromewebstore.google.com/detail/angular-devtools/ienfalfjdbdpebioblfackkekamfmbnh	Chromium-only in this catalog; use Chrome for Angular DevTools.
dev	all	axe DevTools	https://chromewebstore.google.com/detail/axe-devtools-web-accessib/lhdoppojpmngadmnindnejefpokejbdd	Accessibility checks during frontend work.
